,SN,TimeDate,BatteryStateOfCharge_Percent,BatteryVoltage_V,A_mean,min,Wh_sum,DSOC,DV,fD_all,fD_sel,cyc,TemperatureEnvironment_C,t_1,SOH
1,sn000013,2016-10-31,52.094594594594604,512.1891891891893,9.358791552444805,13.594594594594595,1068.353153153153,5.0,5.027027027027027,42.40691962673635,5.28387832244832,16.867783675219595,27.83783783783784,104.0,100.0
2,sn000013,2016-11-30,52.15714285714286,512.0285714285715,9.25647001494746,14.028571428571427,1090.211666666667,5.0,5.2,39.99269726400925,8.72954986928399,40.598445610366994,26.97142857142857,100.0,102.0
3,sn000013,2016-12-31,51.886178861788615,512.390243902439,9.354506197412238,13.723577235772355,1091.2944444444447,5.0,5.276422764227642,56.20080590667367,12.25536081547715,74.26216460600348,25.96747967479675,102.0,102.0
4,sn000013,2017-01-31,52.12380952380953,510.99047619047616,9.346877522120774,13.780952380952382,1080.9009523809523,5.0,5.1047619047619035,45.697789081842,10.882393577394977,109.85481181840416,23.8,102.0,101.0
5,sn000013,2017-02-28,52.29357798165138,512.8440366972477,9.315225702409004,14.422018348623853,1138.9784403669726,5.0,5.73394495412844,46.35325222223013,11.754752444008545,144.99173951045572,25.522935779816518,101.0,107.0
6,sn000013,2017-03-31,51.54901960784314,511.9607843137255,9.100200733455148,14.764705882352944,1135.9153594771244,5.0,5.627450980392156,41.94382941721498,5.596271394976768,185.5575003941006,26.686274509803926,107.0,106.0
7,sn000013,2017-04-30,53.0958904109589,513.082191780822,9.03874455762081,14.52054794520548,1113.5159817351603,5.0,5.287671232876712,39.287236930972256,9.021137570531897,216.83036451611287,27.50684931506849,106.0,104.0
8,sn000013,2017-05-31,52.02439024390244,512.4634146341464,8.9902755193054,14.890243902439025,1122.7873983739842,5.0,5.365853658536587,34.61583234701222,10.202160788781564,254.3126638215093,28.42682926829268,104.0,105.0
9,sn000013,2017-06-30,50.10666666666667,511.9066666666667,8.774651208646874,15.306666666666667,1131.216,5.0,5.253333333333333,45.0679954633011,9.022779294218594,284.8202742091893,30.44,105.0,106.0
10,sn000013,2017-07-31,48.66101694915254,510.72881355932196,9.18773472109908,14.881355932203391,1144.1774011299435,5.0,5.2372881355932215,36.45630532101151,7.7677468655264965,316.53117734160185,30.77966101694915,106.0,107.0
11,sn000013,2017-08-31,51.8,512.94,9.09020025459577,14.22,1087.4743333333333,5.0,5.28,45.83420609499613,9.432258052307127,345.5258333605982,31.0,107.0,102.0
12,sn000013,2017-09-30,50.966101694915245,511.9491525423729,9.269160624799627,14.627118644067796,1128.079661016949,5.0,5.2372881355932215,50.82355886097269,6.266111148940011,371.7984171763295,29.474576271186443,102.0,106.0
13,sn000013,2017-10-31,49.596153846153854,510.8846153846154,10.239836494262402,13.057692307692307,1107.6233974358977,5.0,4.980769230769232,45.95839834126854,5.611749967932152,402.3595664389703,27.865384615384613,106.0,104.0
14,sn000013,2017-11-30,50.6,511.2,9.363080319777687,13.94,1062.663666666667,5.0,5.18,49.123636304201604,4.757458787364796,431.7003074986168,26.86,104.0,100.0
15,sn000013,2017-12-31,52.30263157894736,509.2894736842105,9.163314388083716,14.56578947368421,1104.5995614035087,5.0,5.355263157894737,43.4437232668713,7.932864487607528,462.9243343356082,25.73684210526316,100.0,103.0
16,sn000013,2018-01-31,53.26086956521739,510.89130434782606,8.565135444443309,14.717391304347824,1074.3978260869562,5.0,5.836956521739131,34.43692459230398,8.480197775332526,494.2821504461357,25.608695652173914,103.0,101.0
17,sn000013,2018-02-28,52.84,508.66666666666674,9.79526116751039,14.106666666666667,1128.3415555555555,5.0,4.773333333333333,50.23217416247696,7.957631120378555,528.9369388753595,25.106666666666666,101.0,106.0
18,sn000013,2018-03-31,52.2463768115942,507.8840579710145,9.469573994503326,14.144927536231885,1094.1101449275372,5.0,5.188405797101449,48.41432767228602,5.17545972321684,564.0588808433607,25.608695652173914,106.0,102.0
19,sn000013,2018-04-30,52.32432432432432,512.2702702702703,9.293051699098944,14.351351351351349,1092.8581081081084,5.0,5.378378378378378,56.08034138561275,8.760816544875862,598.8501979450558,27.77027027027027,102.0,102.0
20,sn000013,2018-05-31,52.141025641025635,512.2051282051282,8.763423819670841,14.923076923076925,1100.3055555555563,5.0,5.5,41.36746450303296,7.367261531538633,629.6486767232379,28.923076923076927,102.0,103.0
21,sn000013,2018-06-30,50.0,511.0377358490566,8.614117632259024,15.245283018867926,1093.545597484277,5.0,5.226415094339623,33.71733239561099,6.4275420363314995,658.3474547779629,30.45283018867925,103.0,102.0
22,sn000013,2018-07-31,47.46875,509.8125,8.47085522420154,15.40625,1092.6635416666666,5.0,4.71875,38.32705699886604,7.612180797149942,684.7594583178419,31.609375,102.0,102.0
23,sn000013,2018-08-31,47.214285714285715,510.07142857142856,9.137790980319867,14.160714285714285,1088.7205357142861,5.0,5.017857142857143,36.762137324474146,9.726846396797148,709.4094448171433,32.607142857142854,102.0,102.0
24,sn000013,2018-09-30,49.3968253968254,510.4761904761905,9.493795244188004,14.253968253968255,1125.549470899471,5.0,5.6190476190476195,48.231508985479536,4.6735887371940485,737.3751840498151,31.11111111111111,102.0,105.0
25,sn000013,2018-10-31,46.74418604651163,509.953488372093,8.765179645539341,14.744186046511626,1077.20503875969,5.0,4.8604651162790695,42.568775145835374,9.308588767525482,766.5253078854961,29.069767441860467,105.0,101.0
26,sn000013,2018-11-30,46.93617021276596,509.3617021276596,8.83507714564381,14.51063829787234,1066.0638297872345,5.0,4.9361702127659575,41.25259532610764,5.604172386919767,787.7711005187406,27.23404255319149,101.0,100.0
27,sn000013,2018-12-31,44.65,508.1,9.042621671333311,14.633333333333333,1108.8363888888894,5.0,5.1,35.396428444873926,7.425800691699207,809.8600666250226,26.466666666666665,100.0,104.0
28,sn000013,2019-01-31,45.150943396226424,506.7358490566038,8.697254678359009,13.962264150943394,1006.6754716981134,5.0,4.622641509433962,43.55788335563972,6.962537591380122,835.3942564782666,25.603773584905664,104.0,94.0
29,sn000013,2019-02-28,46.58064516129032,508.09677419354836,8.687449211712421,15.258064516129034,1102.4456989247317,5.0,5.483870967741934,39.603243036713174,6.379732344711666,859.1912604953386,25.967741935483872,94.0,103.0
30,sn000013,2019-03-31,48.27777777777778,509.4074074074074,8.992832433734137,14.629629629629632,1092.537037037037,5.0,5.4444444444444455,38.77055455932786,4.5725665204456245,879.0559854540859,26.574074074074073,103.0,102.0
31,sn000013,2019-04-30,49.12,510.8,8.494374711459853,15.44,1088.0233333333338,5.0,5.6,45.66437916283853,2.3750504403022163,901.7652419426394,27.48,102.0,102.0
